선수명,생년월일,연도,팀,나이,P,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
이정후,1998-08-20,2017,넥센,19,CF,144,622,552,111,179,29,8,2,230,47,12,4,60,6,2,67,9,2,2,0.324,0.395,0.417,0.812,0.370,112.1,3.67,1.35
이정후,1998-08-20,2018,넥센,20,RF,109,520,459,81,163,34,2,6,219,57,11,4,42,8,3,58,5,3,8,0.355,0.412,0.477,0.889,0.391,127.4,3.75,2.90
이정후,1998-08-20,2019,키움,21,LF,140,630,574,91,193,31,10,6,262,68,13,7,45,4,0,40,15,3,4,0.336,0.386,0.456,0.842,0.386,135.4,4.92,1.39
이정후,1998-08-20,2020,키움,22,RF,140,617,544,85,181,49,5,15,285,101,12,2,59,4,6,47,16,2,8,0.333,0.397,0.524,0.921,0.406,142.8,5.56,3.81
이정후,1998-08-20,2021,키움,23,CF,123,543,463,78,167,42,6,7,242,84,10,3,62,9,1,37,8,0,9,0.361,0.438,0.523,0.961,0.441,165.8,6.73,3.17
이정후,1998-08-20,2022,키움,24,CF,142,627,553,85,193,36,10,23,318,113,5,0,66,5,12,32,10,0,3,0.349,0.421,0.575,0.996,0.441,182.5,9.23,6.72
이정후,1998-08-20,2023,키움,25,CF,85,386,329,50,105,23,2,6,150,45,6,3,49,3,7,23,1,0,5,0.319,0.407,0.456,0.863,0.396,144.5,3.72,1.04
강정호,1987-04-05,2014,넥센,27,SS,117,501,418,103,149,36,2,40,309,117,3,3,68,13,2,106,8,0,2,0.356,0.459,0.739,1.198,0.500,185.6,8.05,7.25
로하스,1990-05-24,2017,kt,27,CF,83,367,336,52,101,27,3,18,188,56,5,8,23,5,0,81,6,0,3,0.301,0.352,0.560,0.911,0.388,124.7,2.53,1.44
로하스,1990-05-24,2018,KT,28,CF,144,645,564,114,172,30,1,43,333,114,18,13,71,7,4,142,10,1,2,0.305,0.388,0.590,0.979,0.410,138.5,5.66,5.41
로하스,1990-05-24,2019,KT,29,CF,142,577,520,68,167,29,3,24,274,104,4,4,49,3,5,120,4,0,5,0.321,0.380,0.527,0.907,0.405,150.6,5.47,1.30
로하스,1990-05-24,2020,KT,30,RF,142,628,550,116,192,39,1,47,374,135,0,1,65,5,5,132,11,0,8,0.349,0.417,0.680,1.097,0.467,180.5,7.76,7.29
박병호,1986-07-10,2014,넥센,28,1B,128,571,459,126,139,16,2,52,315,124,8,3,96,12,3,142,13,0,4,0.303,0.433,0.686,1.119,0.466,162.9,6.23,4.36
박병호,1986-07-10,2015,넥센,29,1B,140,622,528,129,181,35,1,53,377,146,10,3,78,12,6,161,10,0,4,0.343,0.436,0.714,1.150,0.481,181.9,7.76,7.82
박병호,1986-07-10,2018,넥센,32,1B,113,488,400,88,138,20,0,43,287,112,0,1,68,17,10,114,9,0,3,0.345,0.457,0.718,1.175,0.478,190.9,6.62,6.44
박병호,1986-07-10,2019,키움,33,1B,122,532,432,92,121,22,0,33,242,98,0,1,78,13,5,117,7,0,9,0.280,0.399,0.560,0.959,0.422,166.3,5.50,2.21
박병호,1986-07-10,2020,키움,34,1B,93,383,309,56,69,7,0,21,139,66,0,0,57,9,2,114,8,0,8,0.223,0.353,0.450,0.802,0.357,115.6,1.81,0.50
박병호,1986-07-10,2021,키움,35,1B,118,477,409,48,93,23,0,20,176,76,0,1,47,14,3,141,9,0,7,0.227,0.323,0.430,0.753,0.343,106.4,1.47,0.01
박병호,1986-07-10,2022,KT,36,1B,124,487,429,72,118,17,0,35,240,98,5,3,40,12,3,131,7,0,6,0.275,0.349,0.559,0.909,0.399,147.8,3.85,3.71
박병호,1986-07-10,2023,KT,37,1B,123,453,400,47,111,14,0,17,176,79,2,0,38,8,1,110,8,0,7,0.278,0.347,0.440,0.787,0.362,118.8,1.97,2.63
최형우,1983-12-16,2014,삼성,31,LF,113,493,430,92,153,33,0,31,279,100,4,2,50,7,1,62,11,0,6,0.356,0.426,0.649,1.075,0.458,160.6,5.55,3.91
최형우,1983-12-16,2015,삼성,32,LF,144,637,547,94,174,33,1,33,308,123,2,5,73,9,7,101,13,0,8,0.318,0.402,0.563,0.965,0.416,143.3,4.13,3.48
